Cluster number;Age of head of household;Has a computer;Has air conditioner;Has animal-drawn cart;Has bank account;Has bicycle;Has boat with a motor;Has car/truck;Has electricity;Has mobile telephone;Has mosquito bed net for sleeping;Has motorcycle/scooter;Has radio;Has refrigerator;Has television;Main floor material;Main roof material;Main wall material;Number of de facto members;Number of household members;Number of mosquito bed nets;Number of rooms used for sleeping;Owns cattle;Owns chickens/poultry;Owns cows/ bulls;Owns goats;Owns horses/ donkeys/ mules;Owns land usable for agriculture;Sex of head of household;Source of drinking water;Type of cooking fuel;Type of place of residence;Type of toilet facility;Wealth index for urban/rural;Has solar panel;Has a generator;Has plows;Has a tractor;Has a tiller;Motorized seed drill;Age of household head;Are there ways to avoid getting malaria;Births in last five years;Daughters who have died;Education in single years;Educational attainment;Frequency of listening to radio;Frequency of reading newspaper or magazine;Frequency of using internet last month;Frequency of watching television;Highest educational level;Literacy;Owns a mobile telephone;Respondent slept under mosquito bed net;Sex of household head;Sons who have died;Time to get to water source;Total children ever born;Use of internet;Component1;Social Vulnerability;Social Vulnerability  Unweighted;geometry
41;56.84615385;0;0;0.769230769;0;0.923076923;0;0;0;0.923076923;1;0.769230769;0.923076923;0;0.615384615;1.461538462;2.846153846;2.076923077;8.653846154;8.653846154;4.807692308;4.153846154;4;9.346153846;9.423076923;9.076923077;2.038461538;1;1.038461538;2.538461538;8;2;2;2.615384615;0.961538462;0;0.961538462;0.076923077;0.153846154;0.730769231;53.13636364;1;0.931818182;0.386363636;1.227272727;0.363636364;1.659090909;0.090909091;0.045454545;1.477272727;0.272727273;0.25;0.272727273;0.840909091;1;0.477272727;3.704545455;4.613636364;0.022727273;-0.524345078;-0.304181458;-1.44339687;POINT (-6.428918566 11.96075245)
42;47.26923077;0.038461538;0;0.153846154;0.038461538;0.461538462;0;0.153846154;0.076923077;0.961538462;0.961538462;0.807692308;0.884615385;0;0.884615385;2.846153846;3;2.923076923;8.769230769;8.884615385;3.730769231;4.115384615;1.615384615;7.346153846;6.423076923;3.961538462;0.192307692;0.923076923;1.076923077;2.076923077;7.961538462;2;2;4.615384615;0.961538462;0;0.538461538;0.076923077;0;0.153846154;47;0.98;0.98;0.28;3.28;1.14;1.72;0.04;0.28;1.5;0.78;0.52;0.78;0.72;1.04;0.14;4.82;3.4;0.12;-1.568890485;-0.677963002;-2.94605453;POINT (-8.707230427 11.66345069)
43;48.61538462;0;0;0.269230769;0.038461538;0.653846154;0;0;0.230769231;1;0.961538462;0.846153846;0.923076923;0;0.769230769;2.461538462;2.923076923;2.538461538;9.653846154;9.769230769;4.346153846;3.923076923;0.961538462;5.923076923;2.269230769;1.423076923;0.692307692;0.615384615;1.038461538;2.307692308;7.923076923;2;2;4.307692308;1;0;0.384615385;0;0.115384615;0.230769231;53.67924528;1;1.094339623;0.132075472;4.132075472;1.433962264;1.58490566;0.245283019;0.056603774;1.339622642;1.018867925;0.773584906;0.735849057;0.886792453;1.018867925;0.150943396;3.20754717;3.150943396;0.075471698;-2.009085727;-0.831703466;-3.630825931;POINT (-8.656212183 12.25814973)
44;58.96153846;0;0;0.730769231;0;0.846153846;0;0;0;0.961538462;1;0.846153846;0.961538462;0.038461538;0.615384615;1.615384615;2.461538462;2.038461538;15.92307692;15.96153846;7.153846154;6.230769231;2.538461538;16.03846154;5.846153846;7;1.807692308;0.923076923;1.076923077;2.192307692;7.961538462;2;2;2.846153846;0.807692308;0.076923077;0.923076923;0.076923077;0.115384615;0.461538462;61.20547945;1;0.98630137;0.260273973;2.410958904;0.794520548;1.506849315;0.082191781;0.095890411;0.95890411;0.561643836;0.465753425;0.534246575;0.821917808;1.02739726;0.260273973;6.821917808;4.095890411;0.082191781;-1.087061708;-0.531461898;-2.222565903;POINT (-8.172687218 12.97422843)
45;50.88461538;0;0;0.269230769;0.115384615;0.730769231;0;0;0;0.961538462;0.923076923;0.846153846;0.923076923;0;0.615384615;2.384615385;3;2.576923077;14;14.15384615;5.038461538;4.692307692;1.769230769;12.42307692;3.153846154;4.230769231;0.538461538;0.730769231;1.076923077;2.038461538;7.923076923;2;2;4.038461538;0.923076923;0;0.346153846;0.115384615;0.115384615;0.269230769;57.425;1;1;0.35;2.6625;0.8625;1.775;0.125;0.2875;1.325;0.6;0.4625;0.55;0.6;1.0625;0.275;4.125;3.7625;0.175;-1.302523092;-0.57918547;-2.946515673;POINT (-7.826931206 12.44955817)
46;46.5;0.076923077;0.038461538;0;0.307692308;0.076923077;0;0.153846154;0.923076923;1;0.923076923;0.730769231;0.807692308;0.230769231;0.884615385;3;3;3;8.153846154;8.384615385;3.115384615;3.576923077;0;1.153846154;0.076923077;0;0;0.038461538;1.192307692;1.846153846;7.269230769;2;1.923076923;5;0.038461538;0.038461538;0;0;0;0;49.94;1;0.6;0.06;5.82;1.86;1.84;0.74;0.8;1.74;1.24;1;0.88;0.56;1.14;0.2;5.7;2.22;0.38;-3.729757158;-1.393644401;-5.530127526;POINT (-8.095736886 12.55294265)
47;53.53846154;0;0;0.5;0.269230769;0.653846154;0;0;0.192307692;0.884615385;0.961538462;0.653846154;0.884615385;0;0.423076923;2.653846154;2.961538462;1.5;16.65384615;16.76923077;5.576923077;6.923076923;1.884615385;11.53846154;2.807692308;8.269230769;2.961538462;0.961538462;1;2;8;2;2.384615385;4;0.807692308;0;0.384615385;0;0;0.115384615;58.6547619;0.988095238;0.904761905;0.369047619;0.964285714;0.345238095;1.095238095;0;0.011904762;0.952380952;0.25;0.083333333;0.30952381;0.75;1;0.535714286;16.85714286;4.94047619;0.011904762;-0.541826378;-0.286727392;-0.906707627;POINT (-7.842429149 12.79115446)
48;45.69230769;0.153846154;0.076923077;0;0.538461538;0.230769231;0;0.192307692;0.961538462;1;1;0.538461538;0.884615385;0.307692308;0.884615385;3;3;2.846153846;7.576923077;7.807692308;3.538461538;3.346153846;0;1.807692308;0;0.038461538;0.038461538;0.076923077;1.115384615;1.615384615;7.192307692;2;2.038461538;5;0.153846154;0.038461538;0;0;0;0;45.38095238;1;0.547619048;0.047619048;5.5;1.880952381;1.047619048;0.071428571;1.261904762;1.452380952;1.214285714;1;0.714285714;0.785714286;1.142857143;0.071428571;15.23809524;1.857142857;0.476190476;-3.99682525;-1.420446367;-5.103999247;POINT (-7.89063634 12.6631575)
49;49.73076923;0.153846154;0.076923077;0;0.192307692;0.192307692;0;0.038461538;1;0.961538462;0.846153846;0.653846154;0.884615385;0.192307692;0.923076923;3;3;3;7.076923077;7.192307692;2.461538462;3.307692308;0;5.230769231;0;0;0;0.076923077;1.230769231;1.5;7.346153846;2;2;5;0;0;0;0;0;0;54.2;1;0.711111111;0.066666667;5.266666667;1.555555556;1.533333333;0.311111111;1.377777778;1.866666667;1.022222222;0.911111111;0.888888889;0.644444444;1.333333333;0.111111111;2.777777778;2.911111111;0.488888889;-3.833186615;-1.354726756;-5.077430255;POINT (-8.041980594 12.54004134)
50;41.68;0.24;0.12;0;0.36;0.28;0;0.24;0.76;1;0.88;0.48;0.88;0.4;0.76;2.92;3;3;6.96;7.2;3.32;3.4;0;0.16;0;0;0;0;1.36;1.68;7.24;2;1.96;5;0.04;0.08;0;0;0;0;41.61363636;0.977272727;0.818181818;0.045454545;5.522727273;1.681818182;1.545454545;0.113636364;1.681818182;1.522727273;1.090909091;0.840909091;0.818181818;0.886363636;1.363636364;0.113636364;5.25;2.340909091;0.590909091;-3.863397987;-1.373237037;-5.137283506;POINT (-8.035645696 12.52514506)
51;57.53846154;0;0;0.653846154;0;0.846153846;0;0;0.076923077;0.884615385;1;0.769230769;0.961538462;0;0.307692308;1.384615385;1.884615385;2.153846154;9.884615385;10.03846154;4.038461538;4.038461538;0.961538462;6.538461538;2.653846154;3.269230769;1.192307692;0.961538462;1.115384615;2.576923077;7.846153846;2;2.076923077;2.346153846;0.615384615;0.038461538;0.653846154;0;0;0.192307692;59.08510638;1;1.063829787;0.191489362;1.70212766;0.531914894;1.70212766;0.127659574;0.063829787;1;0.361702128;0.340425532;0.468085106;0.765957447;1.063829787;0.319148936;12.12765957;4.021276596;0.021276596;-0.786471601;-0.392135726;-1.286534701;POINT (-8.252260573 13.17181892)
52;53.6;0.12;0;0.04;0.36;0.48;0;0.08;0.84;0.92;0.92;0.68;0.84;0.12;0.8;2.92;3;2.84;9.96;10.92;4.68;4.48;0.04;1.96;0;0;0.08;0.24;1.12;1.8;7.8;2;2;4.88;0.24;0;0.08;0;0;0.04;57.23809524;1;0.396825397;0.111111111;5.222222222;1.650793651;1.571428571;0.031746032;1.349206349;1.825396825;1.111111111;0.952380952;0.825396825;0.777777778;1.031746032;0.158730159;1.031746032;2.365079365;0.523809524;-3.794766465;-1.401918863;-5.635553292;POINT (-7.875327631 12.00352019)
53;59.80769231;0;0;0.576923077;0.038461538;0.846153846;0;0;0;0.961538462;1;0.576923077;0.961538462;0;0.538461538;2;2.846153846;2.192307692;12.34615385;12.5;6.5;4.538461538;1.423076923;13.96153846;4.692307692;6.153846154;1.038461538;0.923076923;1.076923077;1.961538462;8;2;2;3.269230769;1;0;0.730769231;0.115384615;0.038461538;0.307692308;64.44827586;0.982758621;0.896551724;0.206896552;3.413793103;1.086206897;1.793103448;0.086206897;0.344827586;1.206896552;0.74137931;0.551724138;0.482758621;0.793103448;1.051724138;0.24137931;6.775862069;3.827586207;0.120689655;-1.519226265;-0.617360162;-2.511127303;POINT (-7.853021782 12.30810284)
54;49.11538462;0.115384615;0.076923077;0.038461538;0.653846154;0.269230769;0;0.307692308;0.846153846;1;1;0.692307692;0.807692308;0.230769231;0.923076923;2.807692308;3;2.846153846;8.653846154;9.153846154;4.230769231;3;0;5.769230769;0;0.269230769;0;0.115384615;1;1.576923077;7.5;1;2.153846154;2.576923077;0.192307692;0;0;0;0;0;49.46511628;1;0.930232558;0.023255814;7.11627907;2.372093023;1.302325581;0.046511628;0.88372093;1.372093023;1.581395349;1.209302326;0.76744186;0.790697674;1;0.139534884;5.302325581;2.441860465;0.511627907;-4.353525799;-1.561486451;-5.680926708;POINT (-8.096893903 12.75153795)
55;50.95454545;0.045454545;0.045454545;0.045454545;0.545454545;0.227272727;0;0.090909091;0.909090909;0.954545455;1;0.590909091;0.772727273;0.227272727;0.772727273;3;3;2.818181818;8.045454545;8.454545455;4.045454545;4.136363636;0;7.318181818;0;0.363636364;0.045454545;0.045454545;1.181818182;1.590909091;7.545454545;1;2.181818182;2.454545455;0.090909091;0;0.045454545;0;0;0;52.41860465;1;0.511627907;0.023255814;7.906976744;2.465116279;0.976744186;0.209302326;1.581395349;1.744186047;1.581395349;1.255813953;0.930232558;0.813953488;1.186046512;0.069767442;1.023255814;2.046511628;0.604651163;-4.882970653;-1.681969293;-5.918010924;POINT (-8.062861392 12.72947089)
56;55.42307692;0;0;0.846153846;0.115384615;0.846153846;0;0;0.038461538;0.884615385;1;0.423076923;0.692307692;0;0.230769231;2.461538462;1.615384615;1.461538462;15.38461538;15.84615385;6.230769231;5.923076923;1.461538462;19.80769231;3.692307692;6.846153846;1.807692308;1;1;2.115384615;8;2;2;2.192307692;0.923076923;0;0.730769231;0;0;0.538461538;58.75342466;0.95890411;1;0.452054795;0.671232877;0.232876712;0.97260274;0;0.04109589;0.643835616;0.191780822;0.109589041;0.191780822;0.876712329;1;0.479452055;11.98630137;4.753424658;0.01369863;-0.342722976;-0.173907067;-0.29935212;POINT (-8.434288558 13.56709228)
57;53.65384615;0;0.038461538;0.653846154;0.346153846;0.384615385;0;0;0.038461538;0.884615385;1;0.461538462;0.538461538;0.038461538;0.153846154;2.076923077;2.115384615;1.576923077;13.76923077;13.84615385;6;4.307692308;1.653846154;11.80769231;1.653846154;5.538461538;1.615384615;0.846153846;1.038461538;2.192307692;7.923076923;2;2.346153846;2.846153846;0.730769231;0;0.5;0;0;0.076923077;58.18309859;1;1.154929577;0.366197183;1.042253521;0.352112676;0.647887324;0.014084507;0.211267606;0.295774648;0.267605634;0.154929577;0.366197183;0.873239437;1.014084507;0.352112676;8.845070423;4.253521127;0.098591549;-0.614461408;-0.234642046;-0.191210495;POINT (-8.12430369 14.05188037)
58;54.84;0;0;0.68;0.24;0.52;0;0;0.16;1;0.96;0.6;0.6;0;0.32;2.04;2.52;1.88;16.04;16.28;6.88;5.8;2.24;10.32;2.48;6;1.6;1;1;2.12;8;2;2.24;2.68;0.84;0;0.44;0;0;0.12;57;0.984848485;0.909090909;0.348484848;2.166666667;0.803030303;0.5;0;0.106060606;0.484848485;0.590909091;0.409090909;0.348484848;0.863636364;1;0.575757576;11.92424242;4.742424242;0.106060606;-1.224269572;-0.443299192;-0.969919544;POINT (-7.783383431 13.16911)
59;48.56;0.08;0.04;0.84;0.48;0.32;0;0.04;0.88;0.96;1;0.6;0.76;0.2;0.84;2.6;1.6;2.12;10.56;10.76;5.12;4.48;0.36;8.56;0.2;2.24;0.88;0.6;1.04;1.64;7.8;2;2.28;4.72;0.2;0;0.32;0;0;0;51.29090909;0.981818182;0.709090909;0.254545455;2.890909091;0.909090909;0.981818182;0.018181818;1.127272727;0.927272727;0.6;0.472727273;0.727272727;0.927272727;1.036363636;0.145454545;11.78181818;3.090909091;0.509090909;-2.798345737;-0.978909619;-2.929576744;POINT (-7.286091994 15.15312193)
60;50.57692308;0;0;0.923076923;0.038461538;0.192307692;0;0;0;0.884615385;1;0.038461538;0.269230769;0;0;2;1.230769231;1.538461538;9.576923077;9.730769231;4.730769231;3.5;6.5;10.65384615;6.884615385;6.423076923;1.846153846;1;1;2.730769231;8;2;3;1.153846154;0.692307692;0;0.769230769;0;0;0;52.13333333;0.911111111;0.955555556;0.133333333;0;0;0.088888889;0;0;0.088888889;0;0;0;0.955555556;1;0.533333333;23.02222222;3.088888889;0;0;0.01957784;1.154988202;POINT (-8.017133987 15.27465284)
62;58.46153846;0;0;0.192307692;0.115384615;0.846153846;0;0;0.076923077;0.961538462;1;0.923076923;0.769230769;0;0.730769231;2.230769231;3;2.153846154;16.30769231;16.42307692;7.384615385;6.807692308;1.769230769;11.42307692;4.423076923;2.692307692;0.230769231;0.923076923;1.076923077;2;7.923076923;2;2.115384615;3.961538462;0.961538462;0;0.538461538;0;0;0;61.32222222;0.844444444;0.822222222;0.422222222;2.511111111;0.855555556;0.788888889;0.022222222;0.111111111;0.9;0.577777778;0.355555556;0.377777778;0.833333333;1.022222222;0.433333333;5.7;3.655555556;0.044444444;-1.094583308;-0.480959201;-1.855129769;POINT (-5.573096639 11.07042636)
63;59.91666667;0;0;1;0.166666667;1;0;0;0;1;1;0.708333333;0.791666667;0;0.666666667;1.5;3;2.25;10.5;10.625;5.458333333;4.5;2.375;10.625;3.875;5.791666667;1.666666667;1;1;2;7.958333333;2;2;3;1;0;1;0;0;0.291666667;58.97368421;1;0.947368421;0.5;1.184210526;0.447368421;0.868421053;0;0.105263158;1.210526316;0.315789474;0.210526316;0.605263158;0.973684211;1;0.789473684;7.157894737;5.815789474;0.052631579;-0.590615187;-0.257433616;-0.340255966;POINT (-6.365172016 11.70142481)
64;55.2173913;0.043478261;0;0.913043478;0.130434783;1;0;0;0.043478261;1;1;0.869565217;0.956521739;0;0.47826087;1.086956522;2.913043478;2.260869565;8.913043478;9.608695652;5.043478261;4.565217391;3.608695652;16.56521739;7.739130435;8.869565217;2.739130435;0.956521739;1;2.52173913;8;2;2;2.173913043;0.956521739;0;0.739130435;0;0;0.434782609;56.63888889;0.916666667;1;0.166666667;2.444444444;0.777777778;1.027777778;0;0.055555556;0.888888889;0.527777778;0.333333333;0.694444444;0.777777778;1;0.305555556;5.083333333;3.361111111;0.055555556;-0.988503325;-0.419415442;-1.420922894;POINT (-6.030810462 12.15489804)
65;55.34615385;0.038461538;0;0.846153846;0.461538462;0.961538462;0;0;0;1;1;0.846153846;0.846153846;0.038461538;0.5;1.692307692;2.692307692;2.423076923;10.88461538;10.96153846;6.115384615;5.5;3;18.26923077;4.615384615;5.346153846;1.961538462;1;1;2.461538462;7.961538462;2;2.076923077;2.692307692;1;0;0.846153846;0.115384615;0;0.576923077;56.33898305;0.966101695;0.779661017;0.457627119;2.830508475;0.881355932;1.13559322;0;0.050847458;0.796610169;0.627118644;0.322033898;0.627118644;0.93220339;1;0.508474576;6.576271186;4.338983051;0.084745763;-1.074026252;-0.459740494;-1.509322439;POINT (-6.044957856 11.91118245)
66;51.36;0;0;0.88;0.48;0.96;0;0;0;1;1;0.88;0.88;0;0.44;1.64;3;2.28;11.16;11.2;5.16;4.72;2.52;11.12;4.2;4.28;0.8;1;1;2.08;8;2;2.04;2.84;1;0;0.76;0.08;0;0.16;54.12244898;0.959183673;1;0.387755102;2.367346939;0.795918367;1.265306122;0.020408163;0.040816327;0.857142857;0.551020408;0.285714286;0.653061224;0.918367347;1;0.408163265;9.816326531;4.775510204;0.020408163;-0.888895062;-0.407703638;-1.578844055;POINT (-6.01149337 11.26627056)
67;51.5;0;0;0.884615385;0.153846154;0.846153846;0;0;0;0.961538462;1;0.846153846;0.769230769;0.038461538;0.423076923;1.692307692;3;2.269230769;11.19230769;11.34615385;6.307692308;5.038461538;5.153846154;13.42307692;9;5.884615385;1.653846154;0.961538462;1.038461538;2.076923077;8;2;2;2.461538462;0.961538462;0;0.884615385;0;0;0.461538462;53.94545455;1;1.054545455;0.563636364;1.963636364;0.672727273;1.018181818;0;0.054545455;0.727272727;0.472727273;0.127272727;0.490909091;0.963636364;1.018181818;0.618181818;4.727272727;4.909090909;0.109090909;-0.775328336;-0.324897354;-0.599771797;POINT (-6.465201756 11.24464994)
68;49.16;0.36;0.08;0;0.64;0.08;0.04;0.16;0.96;1;0.96;0.96;0.8;0.44;0.76;3;3;2.92;6.48;6.8;4.48;3.12;0;3.04;0;0.04;0;0;1.04;1.2;7.2;1;1.96;3.08;0.08;0;0.04;0.04;0.04;0.04;52.39534884;0.930232558;0.534883721;0.093023256;6.302325581;1.837209302;0.813953488;0.046511628;1.255813953;1.558139535;1.23255814;0.976744186;0.744186047;0.860465116;1.069767442;0.046511628;0.11627907;2.139534884;0.488372093;-4.053629797;-1.488666861;-6.144749503;POINT (-5.671426227 11.32849289)
69;42.44;0.28;0.08;0;0.44;0.2;0;0.2;0.92;1;1;0.8;0.88;0.28;0.76;3;3;2.92;6.8;7.12;3.8;3.24;0;4.52;0.08;0.8;0;0.12;1.08;1.16;7.24;1;1.8;2.84;0;0;0;0;0;0;48.04761905;0.952380952;0.857142857;0.047619048;6.880952381;2.166666667;0.976190476;0.047619048;1.30952381;1.547619048;1.428571429;1.214285714;0.80952381;0.857142857;1.047619048;0.095238095;0;2.071428571;0.5;-4.425836034;-1.541616789;-5.582740286;POINT (-5.691891928 11.29623649)
70;46.53846154;0.192307692;0;0;0.384615385;0.269230769;0;0.076923077;0.807692308;1;0.961538462;0.961538462;0.692307692;0.269230769;0.692307692;2.923076923;3;2.807692308;9.384615385;9.807692308;4.769230769;3.5;0.423076923;4.230769231;0.923076923;1.5;0;0.115384615;1.038461538;1.807692308;7.615384615;1;2;2.153846154;0.076923077;0;0.038461538;0;0;0;50.51923077;0.980769231;0.711538462;0.134615385;4.692307692;1.423076923;0.961538462;0;1.076923077;1.211538462;0.980769231;0.826923077;0.807692308;0.884615385;1.057692308;0.269230769;0.480769231;3.230769231;0.461538462;-3.357264745;-1.218712821;-4.513442531;POINT (-5.656324397 11.32246588)
71;51.30769231;0;0;0.846153846;0.192307692;0.884615385;0;0;0;0.923076923;1;0.884615385;0.730769231;0.038461538;0.461538462;1.923076923;3;2.423076923;8.961538462;9.153846154;5.192307692;3.769230769;1.884615385;14.23076923;3.576923077;4.653846154;1.538461538;0.961538462;1.038461538;2.5;8;1;2.076923077;1.038461538;0.923076923;0.038461538;0.807692308;0;0;0.076923077;51.61904762;1;0.976190476;0.333333333;1.119047619;0.357142857;1.476190476;0;0.238095238;0.904761905;0.261904762;0.095238095;0.666666667;0.952380952;1.047619048;0.452380952;5.428571429;4.285714286;0.119047619;-0.576135428;-0.278817663;-0.354955646;POINT (-7.537301358 11.47878603)
72;49.66666667;0.041666667;0;0.75;0.083333333;0.791666667;0;0;0;1;1;0.75;0.75;0.041666667;0.5;1.333333333;3;2.416666667;9.291666667;9.416666667;5.25;3.541666667;2.208333333;12.45833333;5.791666667;2.708333333;0.958333333;1;1;2;8;2;2;2.75;0.958333333;0.041666667;0.666666667;0;0;0.083333333;44.75;1;0.977272727;0.25;2.318181818;0.772727273;1.227272727;0.022727273;0.181818182;1.068181818;0.568181818;0.363636364;0.568181818;0.954545455;1;0.204545455;8.090909091;3.727272727;0.159090909;-1.117983019;-0.487306422;-1.931090074;POINT (-7.460360375 11.31759786)
73;56.26923077;0;0;0.807692308;0.269230769;0.884615385;0;0;0.076923077;0.961538462;1;0.653846154;0.730769231;0;0.307692308;1.384615385;3;2.615384615;9.5;10.19230769;5.884615385;6.076923077;4.115384615;21;3.846153846;5.269230769;1.192307692;1;1;2;8;2;2;2.692307692;0.884615385;0;0.615384615;0;0;0.346153846;58.52083333;0.979166667;0.833333333;0.6875;1.291666667;0.416666667;1.208333333;0.041666667;0.145833333;1.041666667;0.3125;0.1875;0.541666667;0.916666667;1;0.479166667;8.395833333;5.375;0.145833333;-0.750825833;-0.335854161;-1.246299534;POINT (-7.380734743 11.13442949)
74;44.42307692;0;0;0.769230769;0.038461538;0.961538462;0;0;0;1;1;0.576923077;0.576923077;0;0.269230769;1.230769231;2.692307692;2.307692308;8.5;8.5;3.846153846;2.769230769;2.269230769;9.269230769;1.538461538;2.692307692;1.115384615;0.961538462;1;2.076923077;7.961538462;2;2.153846154;2.038461538;0.846153846;0.038461538;0.807692308;0;0;0.076923077;48.80952381;0.952380952;1.238095238;0.428571429;1.619047619;0.5;0.904761905;0.023809524;0.095238095;0.69047619;0.357142857;0.142857143;0.523809524;0.928571429;1;0.642857143;14.66666667;5.357142857;0.095238095;-0.6559126;-0.272735438;-0.634117621;POINT (-7.805173059 11.63602433)
75;53.42307692;0;0;0.884615385;0.307692308;0.884615385;0;0;0.038461538;1;1;0.961538462;0.884615385;0;0.538461538;1.538461538;3;2.730769231;18.07692308;18.34615385;6.384615385;6.923076923;6.230769231;22.96153846;6.884615385;5.576923077;1.615384615;0.961538462;1.038461538;2.423076923;8;2;2.038461538;3;0.961538462;0;0.807692308;0;0;0.230769231;55.0952381;0.988095238;1.095238095;0.571428571;1.380952381;0.464285714;0.761904762;0;0.083333333;0.916666667;0.321428571;0.178571429;0.642857143;0.738095238;1.011904762;0.595238095;9.488095238;4.904761905;0.05952381;-0.629302361;-0.304372497;-0.703730334;POINT (-7.115787972 10.48007984)
76;53.48;0;0;0.88;0.16;0.92;0;0;0;1;1;0.88;0.88;0;0.6;1.64;3;2.44;9.88;10.16;4.72;3.68;2.24;14.52;4.72;5.36;1.36;1;1.04;2.2;7.96;2;2;2.76;1;0.04;0.92;0.04;0.04;0.32;55.23076923;1;1.128205128;0.358974359;2.41025641;0.846153846;1.358974359;0;0.153846154;1.128205128;0.58974359;0.230769231;0.512820513;0.871794872;1.025641026;0.512820513;8.230769231;4.205128205;0.076923077;-0.986401329;-0.413497568;-1.219733163;POINT (-7.169377502 11.34805282)
77;46.23076923;0.038461538;0;0.038461538;0.153846154;0.461538462;0;0.038461538;0.692307692;1;1;0.730769231;0.692307692;0.076923077;0.576923077;2.692307692;3;2.769230769;7.730769231;7.961538462;4.807692308;3.076923077;0.923076923;5.5;3.807692308;0.884615385;0.038461538;0.269230769;1.076923077;2.038461538;7.692307692;2;2;4.807692308;0.038461538;0;0.153846154;0;0;0.038461538;47.51219512;0.951219512;1;0.048780488;4.243902439;1.268292683;1.268292683;0.048780488;0.87804878;1.317073171;0.902439024;0.682926829;0.780487805;0.951219512;1.024390244;0.195121951;4.756097561;2.902439024;0.414634146;-2.923693249;-1.080098528;-4.029504341;POINT (-5.667974853 10.50829192)
78;49.19230769;0;0;0.5;0.115384615;0.884615385;0;0;0;1;0.961538462;0.884615385;0.769230769;0;0.576923077;2.076923077;3;2.115384615;11.46153846;11.61538462;5.884615385;5;2.153846154;7.884615385;2.653846154;1.153846154;0.653846154;1;1;2.153846154;8;2;2.076923077;3.5;0.884615385;0.038461538;0.423076923;0;0;0.038461538;49.87301587;0.920634921;1;0.555555556;1.952380952;0.666666667;1.095238095;0;0.031746032;1.079365079;0.476190476;0.222222222;0.682539683;0.825396825;1;0.46031746;1.285714286;4.507936508;0.015873016;-0.736114504;-0.355753578;-1.181991197;POINT (-5.546574453 10.73597201)
79;54.65384615;0;0;0.923076923;0.230769231;0.884615385;0;0;0;0.961538462;1;0.923076923;0.846153846;0.076923077;0.653846154;1.384615385;3;2.346153846;11.15384615;11.30769231;5.576923077;5.038461538;2.5;13.61538462;5;3.730769231;1.115384615;1;1;2.461538462;8;2;2.038461538;2.884615385;0.884615385;0.038461538;0.846153846;0;0;0.230769231;59.28571429;0.982142857;0.946428571;0.321428571;0.589285714;0.232142857;1.053571429;0.017857143;0;0.625;0.160714286;0.089285714;0.446428571;0.875;1;0.535714286;6.696428571;4.25;0.071428571;-0.31190418;-0.258884709;-1.004489768;POINT (-7.038696111 11.0320629)
80;57.11538462;0;0;0.692307692;0.192307692;0.923076923;0;0.038461538;0;0.961538462;1;0.846153846;0.692307692;0.038461538;0.576923077;1.846153846;2.923076923;2.384615385;10.07692308;10.11538462;6.230769231;5.230769231;3.038461538;8.730769231;6.807692308;5.346153846;1;0.923076923;1.038461538;2;7.923076923;2;2;3.115384615;0.923076923;0.038461538;0.846153846;0;0;0.269230769;58.81818182;1;1.204545455;0.295454545;0.931818182;0.340909091;0.795454545;0.022727273;0.068181818;1.045454545;0.227272727;0.113636364;0.5;0.977272727;1.022727273;0.318181818;10.75;3.886363636;0.068181818;-0.439591863;-0.288543767;-1.280956754;POINT (-6.337351558 10.9741943)
81;56.94736842;0;0;0.894736842;0.157894737;1;0;0;0;1;0.947368421;0.684210526;0.894736842;0;0.263157895;1.105263158;2.789473684;2.157894737;22.89473684;23.52631579;8.894736842;6.263157895;2.157894737;17.05263158;3.157894737;4.684210526;1.157894737;1;1;2.789473684;8;2;2.052631579;1.684210526;0.947368421;0;0.947368421;0;0;0.052631579;60.75862069;0.804597701;1.137931034;0.666666667;0.701149425;0.229885057;0.747126437;0;0.022988506;0.252873563;0.16091954;0.08045977;0.505747126;0.781609195;1;0.574712644;1.620689655;4.563218391;0.011494253;-0.267223656;-0.118689331;0.238074905;POINT (-5.614564672 12.46019602)
82;59.56;0.04;0;0.6;0.16;0.92;0;0;0;0.96;1;0.52;0.92;0;0.28;1.56;2.84;2.4;14.88;15;6.88;4.28;1.24;11;3.92;7.96;1.4;0.92;1.08;2;7.96;2;2.16;2.36;0.84;0;0.72;0;0;0.08;64.28333333;0.95;1.033333333;0.45;1.133333333;0.35;0.583333333;0.016666667;0.083333333;0.416666667;0.233333333;0.116666667;0.483333333;0.866666667;1.016666667;0.45;5.8;4.45;0.033333333;-0.436456613;-0.19668174;-0.460806263;POINT (-5.385733505 12.54477761)
83;58.2173913;0;0;0.739130435;0.043478261;0.956521739;0.043478261;0;0;1;0.956521739;0.782608696;0.913043478;0;0.173913043;1.695652174;2.130434783;2.086956522;17.52173913;17.7826087;7.826086957;6.217391304;2.130434783;21.13043478;3.956521739;7.52173913;1.391304348;0.956521739;1;2.608695652;8;2;2.086956522;2.043478261;0.956521739;0;0.782608696;0;0;0.304347826;65.42372881;0.898305085;1.152542373;0.254237288;1.186440678;0.389830508;0.542372881;0;0.084745763;0.423728814;0.271186441;0.118644068;0.593220339;0.830508475;1;0.474576271;0.915254237;4.915254237;0.06779661;-0.503973776;-0.273061844;-0.985340933;POINT (-5.130376031 12.54944203)
